n_train_apps,combo_idx,train_apps,bottleneck_type,threshold_used,cv_enabled,f1,false_alarm_rate,miss_rate,tp,fp,fn,tn
2,27,"['48289', '48291']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.912,0.0087719298245614,0.1555555555555555,114,1,21,113
2,28,"['48291', '48308']",PIPELINE_STALL,0.5,False,0.3502824858757062,0.3976608187134502,0.6025641025641025,31,68,47,103
2,28,"['48291', '48308']",COMPUTE_UNDERUTILIZATION,0.5,False,0.8903225806451612,0.1630434782608695,0.1210191082802547,138,15,19,77
2,28,"['48291', '48308']",CACHE_PRESSURE,0.5,False,0.7234042553191489,0.0304878048780487,0.4,51,5,34,159
2,29,"['48274', '48278']",PIPELINE_STALL,0.5,False,0.4583333333333333,0.8089887640449438,0.1538461538461538,66,144,12,34
2,29,"['48274', '48278']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7389162561576355,1.0,0.0,150,106,0,0
2,29,"['48274', '48278']",PRECISION_WASTE,0.5,False,0.5490196078431372,0.5072463768115942,0.5508021390374331,84,35,103,34
2,29,"['48274', '48278']",CACHE_PRESSURE,0.5,False,,0.0,1.0,0,0,98,158
2,29,"['48274', '48278']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.7983870967741935,0.1574803149606299,0.2325581395348837,99,20,30,107
2,30,"['48267', '48270']",PIPELINE_STALL,0.5,False,0.3511450381679389,0.1403508771929824,0.7261904761904762,23,24,61,147
2,30,"['48267', '48270']",BRANCH_MISPREDICTION,0.5,False,0.8499999999999999,0.0053475935828877,0.25,51,1,17,186
2,30,"['48267', '48270']",CACHE_PRESSURE,0.5,False,0.7722772277227723,0.2248520710059171,0.0930232558139534,78,38,8,131
2,30,"['48267', '48270']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.8327137546468402,0.2283464566929134,0.125,112,29,16,98
2,31,"['48270', '48278']",PIPELINE_STALL,0.5,False,0.3781094527363184,0.4742857142857143,0.525,38,83,42,92
2,31,"['48270', '48278']",COMPUTE_UNDERUTILIZATION,0.5,False,0.3212435233160621,0.0,0.808641975308642,31,0,131,93
2,31,"['48270', '48278']",PRECISION_WASTE,0.5,False,0.7386363636363636,0.5217391304347826,0.3010752688172043,130,36,56,33
2,31,"['48270', '48278']",BRANCH_MISPREDICTION,0.5,False,0.6923076923076924,0.0,0.4705882352941176,36,0,32,187
2,31,"['48270', '48278']",CACHE_PRESSURE,0.5,False,,0.0,1.0,0,0,98,157
2,31,"['48270', '48278']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.761904761904762,0.4251968503937008,0.125,112,54,16,73
2,32,"['48304', '48283']",PIPELINE_STALL,0.5,False,0.0434782608695652,0.0,0.9777777777777776,2,0,88,160
2,32,"['48304', '48283']",COMPUTE_UNDERUTILIZATION,0.5,False,0.727735368956743,1.0,0.0,143,107,0,0
2,32,"['48304', '48283']",PRECISION_WASTE,0.5,False,0.7012987012987013,0.2424242424242424,0.4130434782608695,108,16,76,50
2,32,"['48304', '48283']",CACHE_PRESSURE,0.5,False,0.7729468599033816,0.2764705882352941,0.0,80,47,0,123
2,32,"['48304', '48283']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.7843137254901961,0.2338709677419354,0.2063492063492063,100,29,26,95
2,33,"['48276', '48307']",PIPELINE_STALL,0.5,False,0.4615384615384615,0.4545454545454545,0.4352941176470588,48,75,37,90
2,33,"['48276', '48307']",BRANCH_MISPREDICTION,0.5,False,1.0,0.0,0.0,50,0,0,200
2,33,"['48276', '48307']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.6149584487534626,1.0,0.0,111,139,0,0
2,34,"['48293', '48284']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7536231884057971,0.1413043478260869,0.3459119496855345,104,13,55,79
2,34,"['48293', '48284']",PRECISION_WASTE,0.5,False,0.6181818181818182,0.0895522388059701,0.5380434782608695,85,6,99,61
2,34,"['48293', '48284']",BRANCH_MISPREDICTION,0.5,False,0.6779661016949152,0.2984293193717277,0.0,60,57,0,134
2,34,"['48293', '48284']",CACHE_PRESSURE,0.5,False,0.6242038216560509,0.1385542168674698,0.4235294117647059,49,23,36,143
2,34,"['48293', '48284']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.6170798898071626,1.0,0.0,112,139,0,0
2,35,"['48270', '48276']",PIPELINE_STALL,0.5,False,0.4662576687116564,0.244047619047619,0.5476190476190477,38,41,46,127
2,35,"['48270', '48276']",COMPUTE_UNDERUTILIZATION,0.5,False,0.8692579505300352,0.031578947368421,0.2165605095541401,123,3,34,92
2,35,"['48270', '48276']",BRANCH_MISPREDICTION,0.5,False,0.9464285714285716,0.0,0.1016949152542373,53,0,6,193
2,35,"['48270', '48276']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.6191780821917808,1.0,0.0,113,139,0,0
2,36,"['48305', '48283']",PIPELINE_STALL,0.5,False,0.0434782608695652,0.0,0.9777777777777776,2,0,88,163
2,36,"['48305', '48283']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7272727272727273,0.1789473684210526,0.3670886075949367,100,17,58,78
2,36,"['48305', '48283']",PRECISION_WASTE,0.5,False,0.6498194945848376,0.0,0.5187165775401069,90,0,97,66
2,36,"['48305', '48283']",CACHE_PRESSURE,0.5,False,0.7058823529411765,0.0434782608695652,0.4130434782608695,54,7,38,154
2,36,"['48305', '48283']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.8284518828451883,0.1102362204724409,0.2142857142857142,99,14,27,113
2,37,"['48276', '48289']",PIPELINE_STALL,0.5,False,0.4057971014492753,0.1524390243902439,0.6705882352941176,28,25,57,139
2,37,"['48276', '48289']",COMPUTE_UNDERUTILIZATION,0.5,False,0.8222996515679443,0.1836734693877551,0.2185430463576159,118,18,33,80
2,37,"['48276', '48289']",BRANCH_MISPREDICTION,0.5,False,0.8181818181818181,0.0,0.3076923076923077,45,0,20,184
2,37,"['48276', '48289']",CACHE_PRESSURE,0.5,False,0.6293706293706294,0.050314465408805,0.5,45,8,45,151
2,37,"['48276', '48289']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.8207171314741035,0.2170542635658914,0.1416666666666666,103,28,17,101
2,38,"['48305', '48284']",COMPUTE_UNDERUTILIZATION,0.5,False,0.6793893129770991,0.1458333333333333,0.440251572327044,89,14,70,82
2,38,"['48305', '48284']",PRECISION_WASTE,0.5,False,0.7448680351906158,0.3970588235294117,0.320855614973262,127,27,60,41
2,38,"['48305', '48284']",BRANCH_MISPREDICTION,0.5,False,0.7361963190184049,0.2205128205128205,0.0,60,43,0,152
2,38,"['48305', '48284']",CACHE_PRESSURE,0.5,False,0.7066666666666667,0.0,0.4536082474226804,53,0,44,158
2,38,"['48305', '48284']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.8260869565217391,0.0625,0.2519685039370078,95,8,32,120
2,39,"['48300', '48303']",PIPELINE_STALL,0.5,False,0.2857142857142857,0.2926829268292683,0.7444444444444445,23,48,67,116
2,39,"['48300', '48303']",PRECISION_WASTE,0.5,False,0.0108108108108108,0.0,0.9945652173913044,1,0,183,70
2,39,"['48300', '48303']",BRANCH_MISPREDICTION,0.5,False,0.4626865671641791,0.2295918367346938,0.4655172413793103,31,45,27,151
2,39,"['48300', '48303']",CACHE_PRESSURE,0.5,False,0.8313253012048194,0.0125786163522012,0.2736842105263158,69,2,26,157
2,39,"['48300', '48303']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.7857142857142857,0.2518518518518518,0.1680672268907563,99,34,20,101
2,40,"['48276', '48284']",PRECISION_WASTE,0.5,False,0.8351063829787233,0.5294117647058824,0.1420765027322404,157,36,26,32
2,40,"['48276', '48284']",BRANCH_MISPREDICTION,0.5,False,0.8571428571428571,0.085,0.0,51,17,0,183
2,40,"['48276', '48284']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.6170798898071626,1.0,0.0,112,139,0,0
2,41,"['48269', '48289']",PIPELINE_STALL,0.5,False,0.2456140350877192,0.0898203592814371,0.8352941176470589,14,15,71,152
2,41,"['48269', '48289']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7919463087248322,0.1529411764705882,0.2934131736526946,118,13,49,72
2,41,"['48269', '48289']",CACHE_PRESSURE,0.5,False,0.4873949579831933,0.0,0.6777777777777778,29,0,61,162
2,41,"['48269', '48289']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.8646616541353385,0.1367521367521367,0.1481481481481481,115,16,20,101
2,42,"['48276', '48295']",PRECISION_WASTE,0.5,False,0.8491879350348028,0.9285714285714286,0.0,183,65,0,5
2,42,"['48276', '48295']",BRANCH_MISPREDICTION,0.5,False,0.9256198347107438,0.0,0.1384615384615384,56,0,9,188
2,42,"['48276', '48295']",CACHE_PRESSURE,0.5,False,0.8383233532934132,0.0545454545454545,0.2045454545454545,70,9,18,156
2,42,"['48276', '48295']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.7452229299363058,0.5590551181102362,0.0714285714285714,117,71,9,56
2,43,"['48276', '48290']",PIPELINE_STALL,0.5,False,0.2788461538461538,0.5672514619883041,0.6463414634146342,29,97,53,74
2,43,"['48276', '48290']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7816901408450705,0.1666666666666666,0.2929936305732484,111,16,46,80
2,43,"['48276', '48290']",BRANCH_MISPREDICTION,0.5,False,0.8596491228070176,0.0,0.2461538461538461,49,0,16,188
2,43,"['48276', '48290']",CACHE_PRESSURE,0.5,False,0.7605633802816901,0.2710843373493976,0.0689655172413793,81,45,6,121
2,43,"['48276', '48290']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.8733624454148472,0.0236220472440944,0.2063492063492063,100,3,26,124
2,44,"['48273', '48283']",PIPELINE_STALL,0.5,False,0.4571428571428571,0.9542857142857144,0.0526315789473684,72,167,4,8
2,44,"['48273', '48283']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7613636363636364,0.6915887850467289,0.0694444444444444,134,74,10,33
2,44,"['48273', '48283']",BRANCH_MISPREDICTION,0.5,False,0.7643312101910829,0.193717277486911,0.0,60,37,0,154
2,44,"['48273', '48283']",CACHE_PRESSURE,0.5,False,0.8392857142857142,0.2292993630573248,0.0,94,36,0,121
2,44,"['48273', '48283']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.6170798898071626,1.0,0.0,112,139,0,0
2,45,"['48267', '48295']",COMPUTE_UNDERUTILIZATION,0.5,False,0.7896678966789669,0.031578947368421,0.3354037267080745,107,3,54,92
2,45,"['48267', '48295']",PRECISION_WASTE,0.5,False,0.8597014925373134,0.0714285714285714,0.2258064516129032,144,5,42,65
2,45,"['48267', '48295']",CACHE_PRESSURE,0.5,False,0.4531722054380664,1.0,0.0,75,181,0,0
2,46,"['48289', '48300']",PIPELINE_STALL,0.5,False,0.2439024390243902,0.1402439024390244,0.8235294117647058,15,23,70,141
2,46,"['48289', '48300']",COMPUTE_UNDERUTILIZATION,0.5,False,0.8391608391608391,0.1530612244897959,0.2052980132450331,120,15,31,83
2,46,"['48289', '48300']",PRECISION_WASTE,0.5,False,0.7961165048543689,0.9876543209876544,0.0238095238095238,164,80,4,1
2,46,"['48289', '48300']",BRANCH_MISPREDICTION,0.5,False,0.8750000000000001,0.0732984293193717,0.0344827586206896,56,14,2,177
2,46,"['48289', '48300']",CACHE_PRESSURE,0.5,False,0.484375,0.0440251572327044,0.6555555555555556,31,7,59,152
2,46,"['48289', '48300']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.8188976377952756,0.2384615384615384,0.1260504201680672,104,31,15,99
2,47,"['48290', '48295']",PIPELINE_STALL,0.5,False,0.4311377245508982,0.28,0.5609756097560976,36,49,46,126
2,47,"['48290', '48295']",COMPUTE_UNDERUTILIZATION,0.5,False,0.942942942942943,0.15625,0.0248447204968944,157,15,4,81
2,47,"['48290', '48295']",PRECISION_WASTE,0.5,False,0.5808823529411765,0.0857142857142857,0.5775401069518716,79,6,108,64
2,47,"['48290', '48295']",CACHE_PRESSURE,0.5,False,0.4564564564564564,1.0,0.0,76,181,0,0
2,48,"['48269', '48304']",COMPUTE_UNDERUTILIZATION,0.5,False,0.1269841269841269,0.2,0.9240506329113924,12,19,146,76
2,48,"['48269', '48304']",CACHE_PRESSURE,0.5,False,0.7741935483870968,0.0595238095238095,0.2941176470588235,60,10,25,158
2,49,"['48276', '48283']",PIPELINE_STALL,0.5,False,0.0219780219780219,0.0,0.9888888888888888,1,0,89,159
2,49,"['48276', '48283']",COMPUTE_UNDERUTILIZATION,0.5,False,0.763076923076923,0.5514018691588785,0.1267605633802817,124,59,18,48
2,49,"['48276', '48283']",PRECISION_WASTE,0.5,False,0.5418060200668896,0.5303030303030303,0.5573770491803278,81,35,102,31
2,49,"['48276', '48283']",BRANCH_MISPREDICTION,0.5,False,0.7735849056603773,0.0,0.3692307692307692,41,0,24,184
2,49,"['48276', '48283']",CACHE_PRESSURE,0.5,False,0.8355555555555555,0.2387096774193548,0.0,94,37,0,118
2,49,"['48276', '48283']",INTRA_NODE_LOAD_IMBALANCE,0.5,False,0.6145251396648044,0.9927536231884058,0.009009009009009,110,137,1,1
4,0,"['48267', '48278', '48291', '48284']",PIPELINE_STALL,0.2,True,0.453125,0.1655629139072847,0.6081081081081081,29,25,45,126
4,0,"['48267', '48278', '48291', '48284']",COMPUTE_UNDERUTILIZATION,0.05,True,0.8596491228070176,0.6103896103896104,0.0067567567567567,147,47,1,30
4,0,"['48267', '48278', '48291', '48284']",PRECISION_WASTE,0.5,True,0.7653429602888088,0.0181818181818181,0.3764705882352941,106,1,64,54
