metric,job_id,n_intervals,n_windows,mean,std,min,max
stall_rate,43141,93,10,56.95629823602017,14.259034856041968,42.6952362626603,83.94530905598803
stall_rate,43129,8,1,71.5615817737681,0.0,71.5615817737681,71.5615817737681
stall_rate,43118,37,4,83.30502839815335,0.5191085869666683,82.43702704251595,83.81541217347694
l3_request_rate_per_l3_miss_rate,43325,62,7,1.4828710155681324,0.8593372175971761,1.1046484305411088,3.584411126379289
l3_request_rate_per_l3_miss_rate,43319,12,2,7.303593600693553,3.3609730361531134,3.94262056454044,10.664566636846667
l3_request_rate_per_l3_miss_rate,43298,82,9,12.428212289782563,1.4331247492214527,9.62303108433186,13.957983722023434
l3_request_rate_per_l3_miss_rate,43290,168,17,9.067109273803279,24.977013804153824,2.6151737448114725,108.97194338465306
l3_request_rate_per_l3_miss_rate,43272,111,12,1.062789916348812,0.07492209918682985,1.022149204195682,1.3097032739099734
l3_request_rate_per_l3_miss_rate,43260,14,2,4.906756637684419,0.9587353343593934,3.9480213033250253,5.865491972043812
l3_request_rate_per_l3_miss_rate,43236,186,19,2.5739770635228543,0.842983348487487,1.0230530829940263,5.115523185088614
l3_request_rate_per_l3_miss_rate,43195,1443,145,12.036590975273612,4.3556770118229355,3.785686923822439,32.042227376724924
l3_request_rate_per_l3_miss_rate,43141,93,10,35.94943960466865,20.915511523913295,13.519155497539922,71.93283642589991
l3_request_rate_per_l3_miss_rate,43129,8,1,1.0652399318223302,0.0,1.0652399318223302,1.0652399318223302
l3_request_rate_per_l3_miss_rate,43118,37,4,1.3510793526293088,0.373100861545323,1.1177872080553928,1.9962521798383668
load_to_store,43325,62,7,3.081272955938776,0.10956835131048565,2.8147258415916077,3.1456138330676007
load_to_store,43319,12,2,7.131385018916106,1.6545809577451949,5.476804061170911,8.7859659766613
load_to_store,43298,82,9,1.6405680698709009,0.014408134098380964,1.6142833759700577,1.6558874459882529
load_to_store,43290,168,17,2.2321784606815687,0.0516501325322835,2.143203795127045,2.3093362550928225
load_to_store,43272,111,12,7.548118672878773,0.23371237500202696,6.83433878767855,7.775849104741779
load_to_store,43260,14,2,4.071543868458445,0.14110407910495537,3.93043978935349,4.212647947563401
load_to_store,43236,186,19,2.125634153293342,1.1967437608211389,1.5974800761881192,4.950577243167201
load_to_store,43195,1443,145,1.6168453126376279,0.03368068014768327,1.5228228972447535,1.6793204641029162
load_to_store,43141,93,10,39.40588989601779,112.73992507915328,1.6894682737979443,377.6255974829752
load_to_store,43129,8,1,30.686220286092798,0.0,30.686220286092798,30.686220286092798
load_to_store,43118,37,4,14.726227892768794,1.2321822976289682,13.551335008978208,16.535028994372773
