fs_variant,outer_fold,bottleneck_type,n_windows,n_positive,n_negative,n_features,feature_fraction,avg_features_all_types,train_time_s,tp,fp,fn,tn,f1,false_alarm_rate,miss_rate
imp_only,3,BRANCH_MISPREDICTION,64,22,42,377,0.2048913043478261,496.6666666666667,20.511765003204346,22,1,0,41,0.9777777777777777,0.023809523809523808,0.0
imp_only,3,CACHE_PRESSURE,64,16,48,586,0.3184782608695652,496.6666666666667,20.511765003204346,15,0,1,48,0.967741935483871,0.0,0.0625
imp_only,3,INTRA_NODE_LOAD_IMBALANCE,64,47,17,445,0.2418478260869565,496.6666666666667,20.511765003204346,47,0,0,17,1.0,0.0,0.0
imp_only,4,PIPELINE_STALL,72,29,43,886,0.4815217391304348,500.8333333333333,20.595468044281006,29,4,0,39,0.9354838709677419,0.09302325581395349,0.0
imp_only,4,COMPUTE_UNDERUTILIZATION,72,44,28,334,0.1815217391304348,500.8333333333333,20.595468044281006,44,2,0,26,0.9777777777777777,0.07142857142857142,0.0
imp_only,4,PRECISION_WASTE,72,47,25,410,0.22282608695652173,500.8333333333333,20.595468044281006,47,0,0,25,1.0,0.0,0.0
imp_only,4,BRANCH_MISPREDICTION,72,0,72,552,0.3,500.8333333333333,20.595468044281006,0,0,0,72,,0.0,
imp_only,4,CACHE_PRESSURE,72,49,23,372,0.20217391304347826,500.8333333333333,20.595468044281006,35,8,14,15,0.7608695652173914,0.34782608695652173,0.2857142857142857
imp_only,4,INTRA_NODE_LOAD_IMBALANCE,72,6,66,451,0.2451086956521739,500.8333333333333,20.595468044281006,6,0,0,66,1.0,0.0,0.0
none,1,PIPELINE_STALL,69,13,56,1840,1.0,1840.0,10.0430269241333,13,7,0,49,0.787878787878788,0.125,0.0
none,1,COMPUTE_UNDERUTILIZATION,69,30,39,1840,1.0,1840.0,10.0430269241333,30,39,0,0,0.6060606060606061,1.0,0.0
none,1,PRECISION_WASTE,69,53,16,1840,1.0,1840.0,10.0430269241333,53,0,0,16,1.0,0.0,0.0
none,1,BRANCH_MISPREDICTION,69,15,54,1840,1.0,1840.0,10.0430269241333,15,0,0,54,1.0,0.0,0.0
none,1,CACHE_PRESSURE,69,20,49,1840,1.0,1840.0,10.0430269241333,15,22,5,27,0.5263157894736842,0.4489795918367347,0.25
none,1,INTRA_NODE_LOAD_IMBALANCE,69,30,39,1840,1.0,1840.0,10.0430269241333,27,8,3,31,0.8307692307692307,0.20512820512820512,0.1
none,2,PIPELINE_STALL,76,14,62,1840,1.0,1840.0,9.917630910873413,0,15,14,47,,0.24193548387096775,1.0
none,2,COMPUTE_UNDERUTILIZATION,76,60,16,1840,1.0,1840.0,9.917630910873413,60,2,0,14,0.9836065573770492,0.125,0.0
none,2,PRECISION_WASTE,76,47,29,1840,1.0,1840.0,9.917630910873413,47,29,0,0,0.7642276422764228,1.0,0.0
none,2,BRANCH_MISPREDICTION,76,37,39,1840,1.0,1840.0,9.917630910873413,37,7,0,32,0.9135802469135803,0.1794871794871795,0.0
none,2,CACHE_PRESSURE,76,14,62,1840,1.0,1840.0,9.917630910873413,14,0,0,62,1.0,0.0,0.0
none,2,INTRA_NODE_LOAD_IMBALANCE,76,58,18,1840,1.0,1840.0,9.917630910873413,43,17,15,1,0.728813559322034,0.9444444444444444,0.25862068965517243
none,3,PIPELINE_STALL,64,38,26,1840,1.0,1840.0,10.2334725856781,38,3,0,23,0.9620253164556963,0.11538461538461539,0.0
none,3,COMPUTE_UNDERUTILIZATION,64,39,25,1840,1.0,1840.0,10.2334725856781,39,13,0,12,0.8571428571428571,0.52,0.0
none,3,PRECISION_WASTE,64,52,12,1840,1.0,1840.0,10.2334725856781,52,12,0,0,0.896551724137931,1.0,0.0
none,3,BRANCH_MISPREDICTION,64,22,42,1840,1.0,1840.0,10.2334725856781,16,0,6,42,0.8421052631578948,0.0,0.2727272727272727
none,3,CACHE_PRESSURE,64,16,48,1840,1.0,1840.0,10.2334725856781,15,0,1,48,0.967741935483871,0.0,0.0625
none,3,INTRA_NODE_LOAD_IMBALANCE,64,47,17,1840,1.0,1840.0,10.2334725856781,47,0,0,17,1.0,0.0,0.0
none,4,PIPELINE_STALL,72,29,43,1840,1.0,1840.0,11.209489107131958,29,3,0,40,0.9508196721311475,0.06976744186046512,0.0
none,4,COMPUTE_UNDERUTILIZATION,72,44,28,1840,1.0,1840.0,11.209489107131958,29,2,15,26,0.7733333333333332,0.07142857142857142,0.3409090909090909
none,4,PRECISION_WASTE,72,47,25,1840,1.0,1840.0,11.209489107131958,41,0,6,25,0.9318181818181819,0.0,0.1276595744680851
none,4,BRANCH_MISPREDICTION,72,0,72,1840,1.0,1840.0,11.209489107131958,0,0,0,72,,0.0,
none,4,CACHE_PRESSURE,72,49,23,1840,1.0,1840.0,11.209489107131958,35,8,14,15,0.7608695652173914,0.34782608695652173,0.2857142857142857
none,4,INTRA_NODE_LOAD_IMBALANCE,72,6,66,1840,1.0,1840.0,11.209489107131958,6,12,0,54,0.5,0.18181818181818182,0.0
